id,book,idx,perseus_n,status,reason,dur,lead,trail,speech,peak,trimmed_dur,text,text_scanned,wav,clean_wav,text_clean,split
b8_l223,8,223,223,ok,,5.973,0.040,0.013,5.920,-9.1,5.973,"ἥ ῥ’ἐν μεσσάτῳ ἔσκε γεγωνέμεν ἀμφοτέρωσε,","ἥ ῥ’ἐν μεσσάτῳ ἔσκε γεγωνέμεν ἀμφοτέρωσε,",data/iliad/raw/Homer/Iliad/book_8/line_223.mp4,data/iliad/wavs/b8_l223.wav,"ἥ ῥ’ ἐν μεσσάτῳ ἔσκε γεγωνέμεν ἀμφοτέρωσε,",train
b8_l224,8,224,224,ok,,5.973,0.140,0.013,5.820,-10.5,4.570,ἠμὲν ἐπ’ Αἴαντος κλισίας Τελαμωνιάδαο,ἠμὲν ἐπ’ Αἴαντος κλισίας Τελαμωνιάδαο,data/iliad/raw/Homer/Iliad/book_8/line_224.mp4,data/iliad/wavs/b8_l224.wav,ἠμὲν ἐπ’ Αἴαντος κλισίας Τελαμωνιάδαο,train
b8_l225,8,225,225,ok,,5.973,0.040,0.013,5.920,-8.6,5.610,"ἠδ’ ἐπ’ Ἀχιλλῆος, τοί ῥ’ἔσχατα νῆας ἐΐσας","ἠδ’ ἐπ’ Ἀχιλλῆος, τοί ῥ’ἔσχατα νῆας ἐΐσας",data/iliad/raw/Homer/Iliad/book_8/line_225.mp4,data/iliad/wavs/b8_l225.wav,"ἠδ’ ἐπ’ Ἀχιλλῆος, τοί ῥ’ ἔσχατα νῆας ἐΐσας",train
b8_l226,8,226,226,ok,,5.973,0.160,0.453,5.360,-8.3,5.570,"εἴρυσαν, ἠνορέῃ πίσυνοι καὶ κάρτεϊ χειρῶν·","εἴρυσαν, ἠνορέῃ πίσυνοι καὶ κάρτεϊ χειρῶν·",data/iliad/raw/Homer/Iliad/book_8/line_226.mp4,data/iliad/wavs/b8_l226.wav,"εἴρυσαν, ἠνορέῃ πίσυνοι καὶ κάρτεϊ χειρῶν·",train
b8_l227,8,227,227,ok,,6.059,0.220,1.039,4.800,-6.6,5.030,ἤϋσεν δὲ διαπρύσιον Δαναοῖσι γεγωνώς·,ἤϋσεν δὲ διαπρύσιον Δαναοῖσι γεγωνώς·,data/iliad/raw/Homer/Iliad/book_8/line_227.mp4,data/iliad/wavs/b8_l227.wav,ἤϋσεν δὲ διαπρύσιον Δαναοῖσι γεγωνώς·,train
b8_l228,8,228,228,ok,,6.144,0.080,0.584,5.480,-7.9,5.690,"αἰδὼς Ἀργεῖοι, κάκ’ ἐλέγχεα, εἶδος ἀγητοί·","αἰδὼς Ἀργεῖοι, κάκ’ ἐλέγχεα, εἶδος ἀγητοί·",data/iliad/raw/Homer/Iliad/book_8/line_228.mp4,data/iliad/wavs/b8_l228.wav,"αἰδὼς Ἀργεῖοι, κάκ’ ἐλέγχεα, εἶδος ἀγητοί·",train
b8_l229,8,229,229,ok,,6.144,0.260,0.664,5.220,-8.5,5.450,"πῇ ἔβαν εὐχωλαί, ὅτε δὴ φάμεν εἶναι ἄριστοι,","πῇ ἔβαν εὐχωλαί, ὅτε δὴ φάμεν εἶναι ἄριστοι,",data/iliad/raw/Homer/Iliad/book_8/line_229.mp4,data/iliad/wavs/b8_l229.wav,"πῇ ἔβαν εὐχωλαί, ὅτε δὴ φάμεν εἶναι ἄριστοι,",train
b8_l230,8,230,230,ok,,5.973,0.140,0.693,5.140,-10.5,5.370,"ἃς ὁπότ’ ἐν Λήμνῳ κενεαυχέες ἠγοράασθε,","ἃς ὁπότ’ ἐν Λήμνῳ κενεαυχέες ἠγοράασθε,",data/iliad/raw/Homer/Iliad/book_8/line_230.mp4,data/iliad/wavs/b8_l230.wav,"ἃς ὁπότ’ ἐν Λήμνῳ κενεαυχέες ἠγοράασθε,",train
b8_l231,8,231,231,ok,,5.973,0.080,0.513,5.380,-7.3,5.570,ἔσθοντες κρέα πολλὰ βοῶν ὀρθοκραιράων,ἔσθοντες κρέα πολλὰ βοῶν ὀρθοκραιράων,data/iliad/raw/Homer/Iliad/book_8/line_231.mp4,data/iliad/wavs/b8_l231.wav,ἔσθοντες κρέα πολλὰ βοῶν ὀρθοκραιράων,train
b8_l232,8,232,232,ok,,5.973,0.140,0.793,5.040,-8.8,5.270,"πίνοντες κρητῆρας ἐπιστεφέας οἴνοιο,","πίνοντες κρητῆρας ἐπιστεφέας οἴνοιο,",data/iliad/raw/Homer/Iliad/book_8/line_232.mp4,data/iliad/wavs/b8_l232.wav,"πίνοντες κρητῆρας ἐπιστεφέας οἴνοιο,",train
b8_l233,8,233,233,ok,,5.973,0.060,0.013,5.900,-8.7,5.973,Τρώων ἄνθ’ ἑκατόν τε διηκοσίων τε ἕκαστος,Τρώων ἄνθ’ ἑκατόν τε διηκοσίων τε ἕκαστος,data/iliad/raw/Homer/Iliad/book_8/line_233.mp4,data/iliad/wavs/b8_l233.wav,Τρώων ἄνθ’ ἑκατόν τε διηκοσίων τε ἕκαστος,train
b8_l234,8,234,234,ok,,5.973,0.020,0.613,5.340,-8.4,5.510,στήσεσθ’ ἐν πολέμῳ· νῦν δ’οὐδ’ ἑνὸς ἄξιοί εἰμεν,στήσεσθ’ ἐν πολέμῳ· νῦν δ’οὐδ’ ἑνὸς ἄξιοί εἰμεν,data/iliad/raw/Homer/Iliad/book_8/line_234.mp4,data/iliad/wavs/b8_l234.wav,στήσεσθ’ ἐν πολέμῳ· νῦν δ’ οὐδ’ ἑνὸς ἄξιοί εἰμεν,train
b8_l235,8,235,235,ok,,5.973,0.040,0.493,5.440,-8.1,5.610,"Ἕκτορος, ὃς τάχα νῆας ἐνιπρήσει πυρὶ κηλέῳ.","Ἕκτορος, ὃς τάχα νῆας ἐνιπρήσει πυρὶ κηλέῳ.",data/iliad/raw/Homer/Iliad/book_8/line_235.mp4,data/iliad/wavs/b8_l235.wav,"Ἕκτορος, ὃς τάχα νῆας ἐνιπρήσει πυρὶ κηλέῳ.",train
b8_l236,8,236,236,ok,,5.973,0.020,1.193,4.760,-7.1,4.890,"Ζεῦ πάτερ, ἦ ῥά τιν’ ἤδη ὑπερμενέων βασιλήων","Ζεῦ πάτερ, ἦ ῥά τιν’ ἤδη ὑπερμενέων βασιλήων",data/iliad/raw/Homer/Iliad/book_8/line_236.mp4,data/iliad/wavs/b8_l236.wav,"Ζεῦ πάτερ, ἦ ῥά τιν’ ἤδη ὑπερμενέων βασιλήων",train
b8_l237,8,237,237,ok,,5.973,0.100,0.073,5.800,-10.4,5.590,τῇδ’ ἄτῃ ἄασας καί μιν μέγα κῦδος ἀπηύρας;,τῇδ’ ἄτῃ ἄασας καί μιν μέγα κῦδος ἀπηύρας;,data/iliad/raw/Homer/Iliad/book_8/line_237.mp4,data/iliad/wavs/b8_l237.wav,τῇδ’ ἄτῃ ἄασας καί μιν μέγα κῦδος ἀπηύρας;,train
b8_l238,8,238,238,ok,,5.973,0.080,0.513,5.380,-9.5,5.610,οὐ μὲν δή ποτέ φημι τεὸν περικαλλέα βωμὸν,οὐ μὲν δή ποτέ φημι τεὸν περικαλλέα βωμὸν,data/iliad/raw/Homer/Iliad/book_8/line_238.mp4,data/iliad/wavs/b8_l238.wav,οὐ μὲν δή ποτέ φημι τεὸν περικαλλέα βωμὸν,train
b8_l239,8,239,239,ok,,5.973,0.020,0.353,5.600,-7.9,5.750,"νηῒ πολυκλήϊδι παρελθέμεν ἐνθάδε ἔρρων,","νηῒ πολυκλήϊδι παρελθέμεν ἐνθάδε ἔρρων,",data/iliad/raw/Homer/Iliad/book_8/line_239.mp4,data/iliad/wavs/b8_l239.wav,"νηῒ πολυκλήϊδι παρελθέμεν ἐνθάδε ἔρρων,",train
b8_l240,8,240,240,ok,,5.973,0.160,0.013,5.800,-8.3,5.350,ἀλλ’ ἐπὶ πᾶσι βοῶν δημὸν καὶ μηρί’ ἔκηα,ἀλλ’ ἐπὶ πᾶσι βοῶν δημὸν καὶ μηρί’ ἔκηα,data/iliad/raw/Homer/Iliad/book_8/line_240.mp4,data/iliad/wavs/b8_l240.wav,ἀλλ’ ἐπὶ πᾶσι βοῶν δημὸν καὶ μηρί’ ἔκηα,train
b8_l241,8,241,241,ok,,5.973,0.100,1.253,4.620,-9.0,4.830,ἱέμενος Τροίην εὐτείχεον ἐξαλαπάξαι.,ἱέμενος Τροίην εὐτείχεον ἐξαλαπάξαι.,data/iliad/raw/Homer/Iliad/book_8/line_241.mp4,data/iliad/wavs/b8_l241.wav,ἱέμενος Τροίην εὐτείχεον ἐξαλαπάξαι.,train
b8_l242,8,242,242,ok,,5.973,0.120,1.313,4.540,-7.9,4.790,ἀλλὰ Ζεῦ τόδε πέρ μοι ἐπικρήηνον ἐέλδωρ·,ἀλλὰ Ζεῦ τόδε πέρ μοι ἐπικρήηνον ἐέλδωρ·,data/iliad/raw/Homer/Iliad/book_8/line_242.mp4,data/iliad/wavs/b8_l242.wav,ἀλλὰ Ζεῦ τόδε πέρ μοι ἐπικρήηνον ἐέλδωρ·,train
b8_l243,8,243,243,ok,,5.973,0.120,0.573,5.280,-8.0,5.510,"αὐτοὺς δή περ ἔασον ὑπεκφυγέειν καὶ ἀλύξαι,","αὐτοὺς δή περ ἔασον ὑπεκφυγέειν καὶ ἀλύξαι,",data/iliad/raw/Homer/Iliad/book_8/line_243.mp4,data/iliad/wavs/b8_l243.wav,"αὐτοὺς δή περ ἔασον ὑπεκφυγέειν καὶ ἀλύξαι,",train
b8_l244,8,244,244,excluded,not_recorded (server 404),,,,,,,μηδ’ οὕτω Τρώεσσιν ἔα δάμνασθαι Ἀχαιούς.,μηδ’ οὕτω Τρώεσσιν ἔα δάμνασθαι Ἀχαιούς.,data/iliad/raw/Homer/Iliad/book_8/line_244.mp4,,,
b8_l245,8,245,245,ok,,6.059,0.260,1.539,4.260,-10.8,4.490,"ὣς φάτο, τὸν δὲ πατὴρ ὀλοφύρατο δάκρυ χέοντα,","ὣς φάτο, τὸν δὲ πατὴρ ὀλοφύρατο δάκρυ χέοντα,",data/iliad/raw/Homer/Iliad/book_8/line_245.mp4,data/iliad/wavs/b8_l245.wav,"ὣς φάτο, τὸν δὲ πατὴρ ὀλοφύρατο δάκρυ χέοντα,",train
b8_l246,8,246,246,ok,,5.973,0.020,0.013,5.940,-7.5,5.973,νεῦσε δέ οἱ λαὸν σόον ἔμμεναι οὐδ’ ἀπολέσθαι.,νεῦσε δέ οἱ λαὸν σόον ἔμμεναι οὐδ’ ἀπολέσθαι.,data/iliad/raw/Homer/Iliad/book_8/line_246.mp4,data/iliad/wavs/b8_l246.wav,νεῦσε δέ οἱ λαὸν σόον ἔμμεναι οὐδ’ ἀπολέσθαι.,train
b8_l247,8,247,247,ok,,6.059,0.260,1.199,4.600,-8.1,4.830,"αὐτίκα δ’αἰετὸν ἧκε τελειότατον πετεηνῶν,","αὐτίκα δ’αἰετὸν ἧκε τελειότατον πετεηνῶν,",data/iliad/raw/Homer/Iliad/book_8/line_247.mp4,data/iliad/wavs/b8_l247.wav,"αὐτίκα δ’ αἰετὸν ἧκε τελειότατον πετεηνῶν,",train
b8_l248,8,248,248,ok,,5.973,0.060,0.373,5.540,-8.8,5.730,νεβρὸν ἔχοντ’ ὀνύχεσσι τέκος ἐλάφοιο ταχείης·,νεβρὸν ἔχοντ’ ὀνύχεσσι τέκος ἐλάφοιο ταχείης·,data/iliad/raw/Homer/Iliad/book_8/line_248.mp4,data/iliad/wavs/b8_l248.wav,νεβρὸν ἔχοντ’ ὀνύχεσσι τέκος ἐλάφοιο ταχείης·,train
b8_l249,8,249,249,ok,,5.973,0.140,0.533,5.300,-9.0,5.550,"πὰρ δὲ Διὸς βωμῷ περικαλλέϊ κάββαλε νεβρόν,","πὰρ δὲ Διὸς βωμῷ περικαλλέϊ κάββαλε νεβρόν,",data/iliad/raw/Homer/Iliad/book_8/line_249.mp4,data/iliad/wavs/b8_l249.wav,"πὰρ δὲ Διὸς βωμῷ περικαλλέϊ κάββαλε νεβρόν,",train
b8_l250,8,250,250,ok,,5.973,0.160,0.533,5.280,-8.5,5.510,ἔνθα πανομφαίῳ Ζηνὶ ῥέζεσκον Ἀχαιοί.,ἔνθα πανομφαίῳ Ζηνὶ ῥέζεσκον Ἀχαιοί.,data/iliad/raw/Homer/Iliad/book_8/line_250.mp4,data/iliad/wavs/b8_l250.wav,ἔνθα πανομφαίῳ Ζηνὶ ῥέζεσκον Ἀχαιοί.,train
b8_l251,8,251,251,ok,,5.973,0.140,0.013,5.820,-9.7,5.933,"οἳ δ’ὡς οὖν εἴδονθ’ ὅ τ’ἄρ’ ἐκ Διὸς ἤλυθεν ὄρνις,","οἳ δ’ὡς οὖν εἴδονθ’ ὅ τ’ἄρ’ ἐκ Διὸς ἤλυθεν ὄρνις,",data/iliad/raw/Homer/Iliad/book_8/line_251.mp4,data/iliad/wavs/b8_l251.wav,"οἳ δ’ ὡς οὖν εἴδονθ’ ὅ τ’ ἄρ’ ἐκ Διὸς ἤλυθεν ὄρνις,",train
b8_l252,8,252,252,excluded,not_recorded (server 404),,,,,,,"μᾶλλον ἐπὶ Τρώεσσι θόρον, μνήσαντο δὲ χάρμης.","μᾶλλον ἐπὶ Τρώεσσι θόρον, μνήσαντο δὲ χάρμης.",data/iliad/raw/Homer/Iliad/book_8/line_252.mp4,,,
b8_l253,8,253,253,ok,,5.973,0.160,1.253,4.560,-8.4,4.790,ἔνθ’ οὔ τις πρότερος Δαναῶν πολλῶν περ ἐόντων,ἔνθ’ οὔ τις πρότερος Δαναῶν πολλῶν περ ἐόντων,data/iliad/raw/Homer/Iliad/book_8/line_253.mp4,data/iliad/wavs/b8_l253.wav,ἔνθ’ οὔ τις πρότερος Δαναῶν πολλῶν περ ἐόντων,train
b8_l254,8,254,254,ok,,5.973,0.140,1.153,4.680,-9.0,4.910,εὔξατο Τυδεΐδαο πάρος σχέμεν ὠκέας ἵππους,εὔξατο Τυδεΐδαο πάρος σχέμεν ὠκέας ἵππους,data/iliad/raw/Homer/Iliad/book_8/line_254.mp4,data/iliad/wavs/b8_l254.wav,εὔξατο Τυδεΐδαο πάρος σχέμεν ὠκέας ἵππους,train
b8_l255,8,255,255,ok,,5.973,0.140,0.513,5.320,-6.4,5.550,"τάφρου τ’ἐξελάσαι καὶ ἐναντίβιον μαχέσασθαι,","τάφρου τ’ἐξελάσαι καὶ ἐναντίβιον μαχέσασθαι,",data/iliad/raw/Homer/Iliad/book_8/line_255.mp4,data/iliad/wavs/b8_l255.wav,"τάφρου τ’ ἐξελάσαι καὶ ἐναντίβιον μαχέσασθαι,",train
b8_l256,8,256,256,ok,,5.973,0.140,0.393,5.440,-8.3,5.670,ἀλλὰ πολὺ πρῶτος Τρώων ἕλεν ἄνδρα κορυστὴν,ἀλλὰ πολὺ πρῶτος Τρώων ἕλεν ἄνδρα κορυστὴν,data/iliad/raw/Homer/Iliad/book_8/line_256.mp4,data/iliad/wavs/b8_l256.wav,ἀλλὰ πολὺ πρῶτος Τρώων ἕλεν ἄνδρα κορυστὴν,train
b8_l257,8,257,257,ok,,5.973,0.040,0.453,5.480,-8.6,5.670,Φραδμονίδην Ἀγέλαον· ὃ μὲν φύγαδ’ ἔτραπεν ἵππους·,Φραδμονίδην Ἀγέλαον· ὃ μὲν φύγαδ’ ἔτραπεν ἵππους·,data/iliad/raw/Homer/Iliad/book_8/line_257.mp4,data/iliad/wavs/b8_l257.wav,Φραδμονίδην Ἀγέλαον· ὃ μὲν φύγαδ’ ἔτραπεν ἵππους·,train
b8_l258,8,258,258,ok,,5.973,0.100,0.033,5.840,-8.2,5.890,τῷ δὲ μεταστρεφθέντι μεταφρένῳ ἐν δόρυ πῆξεν,τῷ δὲ μεταστρεφθέντι μεταφρένῳ ἐν δόρυ πῆξεν,data/iliad/raw/Homer/Iliad/book_8/line_258.mp4,data/iliad/wavs/b8_l258.wav,τῷ δὲ μεταστρεφθέντι μεταφρένῳ ἐν δόρυ πῆξεν,train
b8_l259,8,259,259,ok,,5.973,0.160,0.573,5.240,-7.4,5.470,"ὤμων μεσσηγύς, διὰ δὲ στήθεσφιν ἔλασσεν·","ὤμων μεσσηγύς, διὰ δὲ στήθεσφιν ἔλασσεν·",data/iliad/raw/Homer/Iliad/book_8/line_259.mp4,data/iliad/wavs/b8_l259.wav,"ὤμων μεσσηγύς, διὰ δὲ στήθεσφιν ἔλασσεν·",train
b8_l260,8,260,260,ok,,5.973,0.160,0.453,5.360,-7.7,5.590,"ἤριπε δ’ἐξ ὀχέων, ἀράβησε δὲ τεύχε’ ἐπ’ αὐτῷ.","ἤριπε δ’ἐξ ὀχέων, ἀράβησε δὲ τεύχε’ ἐπ’ αὐτῷ.",data/iliad/raw/Homer/Iliad/book_8/line_260.mp4,data/iliad/wavs/b8_l260.wav,"ἤριπε δ’ ἐξ ὀχέων, ἀράβησε δὲ τεύχε’ ἐπ’ αὐτῷ.",train
b8_l261,8,261,261,ok,,5.973,0.120,0.433,5.420,-8.5,5.650,"τὸν δὲ μετ’ Ἀτρεΐδαι Ἀγαμέμνων καὶ Μενέλαος,","τὸν δὲ μετ’ Ἀτρεΐδαι Ἀγαμέμνων καὶ Μενέλαος,",data/iliad/raw/Homer/Iliad/book_8/line_261.mp4,data/iliad/wavs/b8_l261.wav,"τὸν δὲ μετ’ Ἀτρεΐδαι Ἀγαμέμνων καὶ Μενέλαος,",train
b8_l262,8,262,262,ok,,5.973,0.100,0.413,5.460,-7.7,5.690,"τοῖσι δ’ἐπ’ Αἴαντες θοῦριν ἐπιειμένοι ἀλκήν,","τοῖσι δ’ἐπ’ Αἴαντες θοῦριν ἐπιειμένοι ἀλκήν,",data/iliad/raw/Homer/Iliad/book_8/line_262.mp4,data/iliad/wavs/b8_l262.wav,"τοῖσι δ’ ἐπ’ Αἴαντες θοῦριν ἐπιειμένοι ἀλκήν,",train
b8_l263,8,263,263,ok,,5.973,0.160,0.053,5.760,-8.8,5.650,τοῖσι δ’ἐπ’ Ἰδομενεὺς καὶ ὀπάων Ἰδομενῆος,τοῖσι δ’ἐπ’ Ἰδομενεὺς καὶ ὀπάων Ἰδομενῆος,data/iliad/raw/Homer/Iliad/book_8/line_263.mp4,data/iliad/wavs/b8_l263.wav,τοῖσι δ’ ἐπ’ Ἰδομενεὺς καὶ ὀπάων Ἰδομενῆος,train
b8_l264,8,264,264,ok,,5.973,0.100,0.513,5.360,-7.6,5.590,"Μηριόνης ἀτάλαντος Ἐνυαλίῳ ἀνδρειφόντῃ,","Μηριόνης ἀτάλαντος Ἐνυαλίῳ ἀνδρειφόντῃ,",data/iliad/raw/Homer/Iliad/book_8/line_264.mp4,data/iliad/wavs/b8_l264.wav,"Μηριόνης ἀτάλαντος Ἐνυαλίῳ ἀνδρειφόντῃ,",train
b8_l265,8,265,265,ok,,5.973,0.140,0.453,5.380,-9.1,5.610,τοῖσι δ’ἐπ’ Εὐρύπυλος Εὐαίμονος ἀγλαὸς υἱός·,τοῖσι δ’ἐπ’ Εὐρύπυλος Εὐαίμονος ἀγλαὸς υἱός·,data/iliad/raw/Homer/Iliad/book_8/line_265.mp4,data/iliad/wavs/b8_l265.wav,τοῖσι δ’ ἐπ’ Εὐρύπυλος Εὐαίμονος ἀγλαὸς υἱός·,train
b8_l266,8,266,266,ok,,5.973,0.140,0.133,5.700,-8.6,5.630,"Τεῦκρος δ’εἴνατος ἦλθε παλίντονα τόξα τιταίνων,","Τεῦκρος δ’εἴνατος ἦλθε παλίντονα τόξα τιταίνων,",data/iliad/raw/Homer/Iliad/book_8/line_266.mp4,data/iliad/wavs/b8_l266.wav,"Τεῦκρος δ’ εἴνατος ἦλθε παλίντονα τόξα τιταίνων,",train
b8_l267,8,267,267,ok,,5.973,0.040,0.013,5.920,-9.8,4.650,στῆ δ’ἄρ’ ὑπ’ Αἴαντος σάκεϊ Τελαμωνιάδαο.,στῆ δ’ἄρ’ ὑπ’ Αἴαντος σάκεϊ Τελαμωνιάδαο.,data/iliad/raw/Homer/Iliad/book_8/line_267.mp4,data/iliad/wavs/b8_l267.wav,στῆ δ’ ἄρ’ ὑπ’ Αἴαντος σάκεϊ Τελαμωνιάδαο.,val
b8_l268,8,268,268,ok,,5.973,0.020,0.073,5.880,-9.9,5.010,ἔνθ’ Αἴας μὲν ὑπεξέφερεν σάκος· αὐτὰρ ὅ γ’ἥρως,ἔνθ’ Αἴας μὲν ὑπεξέφερεν σάκος· αὐτὰρ ὅ γ’ἥρως,data/iliad/raw/Homer/Iliad/book_8/line_268.mp4,data/iliad/wavs/b8_l268.wav,ἔνθ’ Αἴας μὲν ὑπεξέφερεν σάκος· αὐτὰρ ὅ γ’ ἥρως,train
b8_l269,8,269,269,ok,,5.973,0.140,0.093,5.740,-8.5,4.770,"παπτήνας, ἐπεὶ ἄρ τιν’ ὀϊστεύσας ἐν ὁμίλῳ","παπτήνας, ἐπεὶ ἄρ τιν’ ὀϊστεύσας ἐν ὁμίλῳ",data/iliad/raw/Homer/Iliad/book_8/line_269.mp4,data/iliad/wavs/b8_l269.wav,"παπτήνας, ἐπεὶ ἄρ τιν’ ὀϊστεύσας ἐν ὁμίλῳ",train
b8_l270,8,270,270,ok,,5.973,0.020,1.393,4.560,-7.5,4.710,"βεβλήκοι, ὃ μὲν αὖθι πεσὼν ἀπὸ θυμὸν ὄλεσσεν,","βεβλήκοι, ὃ μὲν αὖθι πεσὼν ἀπὸ θυμὸν ὄλεσσεν,",data/iliad/raw/Homer/Iliad/book_8/line_270.mp4,data/iliad/wavs/b8_l270.wav,"βεβλήκοι, ὃ μὲν αὖθι πεσὼν ἀπὸ θυμὸν ὄλεσσεν,",train
b8_l271,8,271,271,ok,,5.973,0.100,0.653,5.220,-9.2,5.450,αὐτὰρ ὃ αὖτις ἰὼν πάϊς ὣς ὑπὸ μητέρα δύσκεν,αὐτὰρ ὃ αὖτις ἰὼν πάϊς ὣς ὑπὸ μητέρα δύσκεν,data/iliad/raw/Homer/Iliad/book_8/line_271.mp4,data/iliad/wavs/b8_l271.wav,αὐτὰρ ὃ αὖτις ἰὼν πάϊς ὣς ὑπὸ μητέρα δύσκεν,train
b8_l272,8,272,272,ok,,5.888,0.040,0.008,5.840,-11.7,4.750,εἰς Αἴανθ’· ὃ δέ μιν σάκεϊ κρύπτασκε φαεινῷ.,εἰς Αἴανθ’· ὃ δέ μιν σάκεϊ κρύπτασκε φαεινῷ.,data/iliad/raw/Homer/Iliad/book_8/line_272.mp4,data/iliad/wavs/b8_l272.wav,εἰς Αἴανθ’· ὃ δέ μιν σάκεϊ κρύπτασκε φαεινῷ.,train
b8_l273,8,273,273,ok,,5.973,0.020,1.153,4.800,-8.5,4.970,ἔνθα τίνα πρῶτον Τρώων ἕλε Τεῦκρος ἀμύμων;,ἔνθα τίνα πρῶτον Τρώων ἕλε Τεῦκρος ἀμύμων;,data/iliad/raw/Homer/Iliad/book_8/line_273.mp4,data/iliad/wavs/b8_l273.wav,ἔνθα τίνα πρῶτον Τρώων ἕλε Τεῦκρος ἀμύμων;,train
b8_l274,8,274,274,ok,,6.059,0.220,0.059,5.780,-8.4,5.590,Ὀρσίλοχον μὲν πρῶτα καὶ Ὄρμενον ἠδ’ Ὀφελέστην,Ὀρσίλοχον μὲν πρῶτα καὶ Ὄρμενον ἠδ’ Ὀφελέστην,data/iliad/raw/Homer/Iliad/book_8/line_274.mp4,data/iliad/wavs/b8_l274.wav,Ὀρσίλοχον μὲν πρῶτα καὶ Ὄρμενον ἠδ’ Ὀφελέστην,train
b8_l275,8,275,275,ok,,5.973,0.100,0.453,5.420,-8.9,5.650,Δαίτορά τε Χρομίον τε καὶ ἀντίθεον Λυκοφόντην,Δαίτορά τε Χρομίον τε καὶ ἀντίθεον Λυκοφόντην,data/iliad/raw/Homer/Iliad/book_8/line_275.mp4,data/iliad/wavs/b8_l275.wav,Δαίτορά τε Χρομίον τε καὶ ἀντίθεον Λυκοφόντην,train
b8_l276,8,276,276,ok,,5.973,0.140,0.653,5.180,-8.0,5.390,"καὶ Πολυαιμονίδην Ἀμοπάονα καὶ Μελάνιππον,","καὶ Πολυαιμονίδην Ἀμοπάονα καὶ Μελάνιππον,",data/iliad/raw/Homer/Iliad/book_8/line_276.mp4,data/iliad/wavs/b8_l276.wav,"καὶ Πολυαιμονίδην Ἀμοπάονα καὶ Μελάνιππον,",train
b8_l277,8,277,277,ok,,5.973,0.140,0.493,5.340,-6.3,5.570,πάντας ἐπασσυτέρους πέλασε χθονὶ πουλυβοτείρῃ.,πάντας ἐπασσυτέρους πέλασε χθονὶ πουλυβοτείρῃ.,data/iliad/raw/Homer/Iliad/book_8/line_277.mp4,data/iliad/wavs/b8_l277.wav,πάντας ἐπασσυτέρους πέλασε χθονὶ πουλυβοτείρῃ.,train
b8_l278,8,278,278,ok,,5.973,0.100,1.133,4.740,-9.4,4.910,τὸν δὲ ἰδὼν γήθησεν ἄναξ ἀνδρῶν Ἀγαμέμνων,τὸν δὲ ἰδὼν γήθησεν ἄναξ ἀνδρῶν Ἀγαμέμνων,data/iliad/raw/Homer/Iliad/book_8/line_278.mp4,data/iliad/wavs/b8_l278.wav,τὸν δὲ ἰδὼν γήθησεν ἄναξ ἀνδρῶν Ἀγαμέμνων,train
b8_l279,8,279,279,ok,,5.973,0.060,0.493,5.420,-7.6,5.610,τόξου ἄπο κρατεροῦ Τρώων ὀλέκοντα φάλαγγας·,τόξου ἄπο κρατεροῦ Τρώων ὀλέκοντα φάλαγγας·,data/iliad/raw/Homer/Iliad/book_8/line_279.mp4,data/iliad/wavs/b8_l279.wav,τόξου ἄπο κρατεροῦ Τρώων ὀλέκοντα φάλαγγας·,train
b8_l280,8,280,280,ok,,5.973,0.020,0.793,5.160,-9.8,5.330,στῆ δὲ παρ’ αὐτὸν ἰὼν καί μιν πρὸς μῦθον ἔειπε·,στῆ δὲ παρ’ αὐτὸν ἰὼν καί μιν πρὸς μῦθον ἔειπε·,data/iliad/raw/Homer/Iliad/book_8/line_280.mp4,data/iliad/wavs/b8_l280.wav,στῆ δὲ παρ’ αὐτὸν ἰὼν καί μιν πρὸς μῦθον ἔειπε·,train
b8_l281,8,281,281,ok,,6.059,0.200,0.399,5.460,-8.1,5.710,"Τεῦκρε φίλη κεφαλή, Τελαμώνιε κοίρανε λαῶν","Τεῦκρε φίλη κεφαλή, Τελαμώνιε κοίρανε λαῶν",data/iliad/raw/Homer/Iliad/book_8/line_281.mp4,data/iliad/wavs/b8_l281.wav,"Τεῦκρε φίλη κεφαλή, Τελαμώνιε κοίρανε λαῶν",train
b8_l282,8,282,282,ok,,5.973,0.020,1.273,4.680,-7.2,4.790,"βάλλ’ οὕτως, αἴ κέν τι φόως Δαναοῖσι γένηαι","βάλλ’ οὕτως, αἴ κέν τι φόως Δαναοῖσι γένηαι",data/iliad/raw/Homer/Iliad/book_8/line_282.mp4,data/iliad/wavs/b8_l282.wav,"βάλλ’ οὕτως, αἴ κέν τι φόως Δαναοῖσι γένηαι",train
b8_l283,8,283,283,ok,,5.973,0.160,0.793,5.020,-9.7,5.270,"πατρί τε σῷ Τελαμῶνι, ὅ σ’ἔτρεφε τυτθὸν ἐόντα,","πατρί τε σῷ Τελαμῶνι, ὅ σ’ἔτρεφε τυτθὸν ἐόντα,",data/iliad/raw/Homer/Iliad/book_8/line_283.mp4,data/iliad/wavs/b8_l283.wav,"πατρί τε σῷ Τελαμῶνι, ὅ σ’ ἔτρεφε τυτθὸν ἐόντα,",train
