token,wordform,phones,count
δ’ἀγαμέμνων_1,δ’ἀγαμέμνων,d a g a m e m n ɔː n,6
δ’ἀγανοῖς_1,δ’ἀγανοῖς,d a g a n oi s,2
δ’ἀγγελέουσα_1,δ’ἀγγελέουσα,d a ŋ g e l e uː s a,1
δ’ἀγγελέουσι_1,δ’ἀγγελέουσι,d a ŋ g e l e uː s i,1
δ’ἀγγελίην_1,δ’ἀγγελίην,d a ŋ g e l i ɛː n,1
δ’ἀγκὰς_1,δ’ἀγκὰς,d a ŋ k a s,2
δ’ἀγλαΐηφι_1,δ’ἀγλαΐηφι,d a g l a i ɛː pʰ i,2
δ’ἀγλαὰ_1,δ’ἀγλαὰ,d a g l a a,1
δ’ἀγλαὸν_1,δ’ἀγλαὸν,d a g l a o n,1
δ’ἀγορή_1,δ’ἀγορή,d a g o r ɛː,1
δ’ἀγορεύεις_1,δ’ἀγορεύεις,d a g o r eu eː s,1
δ’ἀγορὰς_1,δ’ἀγορὰς,d a g o r aː s,1
δ’ἀγορὴ_1,δ’ἀγορὴ,d a g o r ɛː,1
δ’ἀγορὴν_1,δ’ἀγορὴν,d a g o r ɛː n,5
δ’ἀγρομένων_1,δ’ἀγρομένων,d a g r o m e n ɔː n,1
δ’ἀγρόμενοι_1,δ’ἀγρόμενοι,d a g r o m e n oi,1
δ’ἀγυιάς_1,δ’ἀγυιάς,d a g yi a s,1
δ’ἀγχιστῖνοι_1,δ’ἀγχιστῖνοι,d a ŋ kʰ i s t iː n oi,1
δ’ἀγόρευ’_1,δ’ἀγόρευ’,d a g o r eu,1
δ’ἀγών_1,δ’ἀγών,d a g ɔː n,1
δ’ἀδμήτοιο_1,δ’ἀδμήτοιο,d a d m ɛː t oi o,1
δ’ἀδρήστειάν_1,δ’ἀδρήστειάν,d a d r ɛː s t eː a n,1
δ’ἀθήνη_1,δ’ἀθήνη,d a tʰ ɛː n ɛː,6
δ’ἀθήνῃ_1,δ’ἀθήνῃ,d a tʰ ɛː n ɛːi,1
δ’ἀθανάτοισι_1,δ’ἀθανάτοισι,d aː tʰ a n a t oi s i,1
δ’ἀθηναίην_1,δ’ἀθηναίην,d a tʰ ɛː n ai ɛː n,2
δ’ἀθηναίῃ_1,δ’ἀθηναίῃ,d a tʰ ɛː n ai ɛːi,1
δ’ἀθηναῖοι_1,δ’ἀθηναῖοι,d a tʰ ɛː n ai oi,1
δ’ἀθρόα_1,δ’ἀθρόα,d a tʰ r o a,1
δ’ἀθρόοι_1,δ’ἀθρόοι,d a tʰ r o oi,1
δ’ἀκάμαντα_1,δ’ἀκάμαντα,d a k a m a n t a,2
δ’ἀκάμαντος_1,δ’ἀκάμαντος,d a k a m a n t o s,1
δ’ἀκάμας_1,δ’ἀκάμας,d a k a m aː s,1
δ’ἀκαχήατο_1,δ’ἀκαχήατο,d a k a kʰ ɛː a t o,1
δ’ἀλάπαζε_1,δ’ἀλάπαζε,d a l a p a z d e,1
δ’ἀλέασθαι_1,δ’ἀλέασθαι,d a l e a s tʰ ai,1
δ’ἀλέεινε_1,δ’ἀλέεινε,d a l e eː n e,1
δ’ἀλέξανδρος_1,δ’ἀλέξανδρος,d a l e k s a n d r o s,1
δ’ἀλίαστον_1,δ’ἀλίαστον,d a l i a s t o n,3
δ’ἀλίαστος_1,δ’ἀλίαστος,d a l i a s t o s,3
δ’ἀλίτηται_1,δ’ἀλίτηται,d a l i t ɛː t ai,1
δ’ἀλίτωμαι_1,δ’ἀλίτωμαι,d a l i t ɔː m ai,1
δ’ἀλαλητῷ_1,δ’ἀλαλητῷ,d a l a l ɛː t ɔːi,3
δ’ἀλαστορίδην_1,δ’ἀλαστορίδην,d a l a s t o r i d ɛː n,1
δ’ἀλεγεινοὶ_1,δ’ἀλεγεινοὶ,d a l e g eː n oi,2
δ’ἀλευάμενος_1,δ’ἀλευάμενος,d a l eu a m e n o z,1
δ’ἀλεώμεθα_1,δ’ἀλεώμεθα,d a l e ɔː m e tʰ a,1
δ’ἀλκή_1,δ’ἀλκή,d a l k ɛː,1
δ’ἀλκήν_1,δ’ἀλκήν,d a l k ɛː n,1
δ’ἀλκιμέδοντα_1,δ’ἀλκιμέδοντα,d a l k i m e d o n t a,1
δ’ἀλκιμέδων_1,δ’ἀλκιμέδων,d a l k i m e d ɔː n,1
δ’ἀλλήλοις_1,δ’ἀλλήλοις,d a l l ɛː l oi s,1
δ’ἀλλήλοισι_1,δ’ἀλλήλοισι,d a l l ɛː l oi s i,1
δ’ἀλλήλους_1,δ’ἀλλήλους,d a l l ɛː l uː s,4
δ’ἀλλήλων_1,δ’ἀλλήλων,d a l l ɛː l ɔː n,4
δ’ἀλλοδαπῷ_1,δ’ἀλλοδαπῷ,d a l l o d a p ɔːi,1
δ’ἀλλοφρονέοντα_1,δ’ἀλλοφρονέοντα,d a l l o pʰ r o n e o n t a,1
δ’ἀλφίτου_1,δ’ἀλφίτου,d a l pʰ i t uː,1
δ’ἀλφειῷ_1,δ’ἀλφειῷ,d a l pʰ eː ɔːi,1
δ’ἀλόχους_1,δ’ἀλόχους,d a l o kʰ uː s,1
δ’ἀλύουσ’_1,δ’ἀλύουσ’,d a l y uː s,1
δ’ἀμέγαρτον_1,δ’ἀμέγαρτον,d a m e g a r t o n,1
δ’ἀμήχανος_1,δ’ἀμήχανος,d a m ɛː kʰ a n o s,1
δ’ἀμήχανός_1,δ’ἀμήχανός,d a m ɛː kʰ a n o s,1
δ’ἀμαλλοδετῆρες_1,δ’ἀμαλλοδετῆρες,d a m a l l o d e t ɛː r e s,1
δ’ἀμαρυγκεΐδης_1,δ’ἀμαρυγκεΐδης,d a m a r y ŋ k e i d ɛː s,1
δ’ἀμβροσίην_1,δ’ἀμβροσίην,d a m b r o s i ɛː n,1
δ’ἀμβρόσιον_1,δ’ἀμβρόσιον,d a m b r o s i o n,2
δ’ἀμβρόσιος_1,δ’ἀμβρόσιος,d a m b r o s i o s,1
δ’ἀμείβετο_1,δ’ἀμείβετο,d a m eː b e t o,1
δ’ἀμπερὲς_1,δ’ἀμπερὲς,d a m p e r e s,2
δ’ἀμπνύνθη_1,δ’ἀμπνύνθη,d a m p n y n tʰ ɛː,1
δ’ἀμφέσταν_1,δ’ἀμφέσταν,d a m pʰ e s t a n,2
δ’ἀμφίθετον_1,δ’ἀμφίθετον,d a m pʰ i tʰ e t o n,1
δ’ἀμφίμαχον_1,δ’ἀμφίμαχον,d a m pʰ i m a kʰ o n,1
δ’ἀμφίπολοι_1,δ’ἀμφίπολοι,d a m pʰ i p o l oi,2
δ’ἀμφίπολος_1,δ’ἀμφίπολος,d a m pʰ i p o l o s,1
δ’ἀμφίσταθ’_1,δ’ἀμφίσταθ’,d a m pʰ i s t a tʰ,1
δ’ἀμφεποτᾶτο_1,δ’ἀμφεποτᾶτο,d a m pʰ e p o t aː t o,1
δ’ἀμφιλύκη_1,δ’ἀμφιλύκη,d a m pʰ iː l yː k ɛː,1
δ’ἀμφιπεριστρώφα_1,δ’ἀμφιπεριστρώφα,d a m pʰ i p e r i s t r ɔː pʰ aː,1
δ’ἀμφιπόλοισιν_1,δ’ἀμφιπόλοισιν,d a m pʰ i p o l oi s i n,1
δ’ἀμφοτέροιιν_1,δ’ἀμφοτέροιιν,d a m pʰ o t e r oi i n,1
δ’ἀμφοτέροισιν_1,δ’ἀμφοτέροισιν,d a m pʰ o t e r oi s i n,2
δ’ἀμφοτέρους_1,δ’ἀμφοτέρους,d a m pʰ o t e r uː s,1
δ’ἀμφοτέρων_1,δ’ἀμφοτέρων,d a m pʰ o t e r ɔː n,3
δ’ἀμφότεροι_1,δ’ἀμφότεροι,d a m pʰ o t e r oi,1
δ’ἀμφὶ_1,δ’ἀμφὶ,d a m pʰ i,13
δ’ἀμφὶς_1,δ’ἀμφὶς,d a m pʰ i s,3
δ’ἀμφ’_1,δ’ἀμφ’,d a m pʰ,20
δ’ἀμύμονα_1,δ’ἀμύμονα,d a m yː m o n a,1
δ’ἀμύνων_1,δ’ἀμύνων,d a m yː n ɔː n,1
δ’ἀνάειρε_1,δ’ἀνάειρε,d a n a eː r e,1
δ’ἀνάσσειν_1,δ’ἀνάσσειν,d a n a s s eː n,1
δ’ἀνάσσεις_1,δ’ἀνάσσεις,d a n a s s eː s,1
δ’ἀνέβη_1,δ’ἀνέβη,d a n e b ɛː,1
δ’ἀνέβραχε_1,δ’ἀνέβραχε,d a n e b r a kʰ e,1
δ’ἀνέδραμεν_1,δ’ἀνέδραμεν,d a n e d r a m e n,2
δ’ἀνέδυ_1,δ’ἀνέδυ,d a n e d yː,1
δ’ἀνέμοισιν_1,δ’ἀνέμοισιν,d a n e m oi s i n,1
δ’ἀνέμους_1,δ’ἀνέμους,d a n e m uː s,1
δ’ἀνένευε_1,δ’ἀνένευε,d a n e n eu e,1
δ’ἀνένευσε_1,δ’ἀνένευσε,d a n e n eu s e,2
δ’ἀνέπαλτο_1,δ’ἀνέπαλτο,d a n e p a l t o,1
δ’ἀνέρες_1,δ’ἀνέρες,d aː n e r e s,2
δ’ἀνέσαντες_1,δ’ἀνέσαντες,d a n e s a n t e s,1
δ’ἀνέστη_1,δ’ἀνέστη,d a n e s t ɛː,5
δ’ἀνέσχετο_1,δ’ἀνέσχετο,d a n e s kʰ e t o,2
δ’ἀνήρ_1,δ’ἀνήρ,d aː n ɛː r,2
δ’ἀνίπτοισιν_1,δ’ἀνίπτοισιν,d a n i p t oi s i n,1
δ’ἀνίστη_1,δ’ἀνίστη,d a n i s t ɛː,1
δ’ἀναίνεται_1,δ’ἀναίνεται,d a n ai n e t ai,1
δ’ἀναίνετο_1,δ’ἀναίνετο,d a n ai n e t o,1
δ’ἀναβὰς_1,δ’ἀναβὰς,d a n a b aː s,2
δ’ἀναθρῴσκων_1,δ’ἀναθρῴσκων,d a n a tʰ r ɔːi s k ɔː n,1
δ’ἀνακυμβαλίαζον_1,δ’ἀνακυμβαλίαζον,d a n a k y m b a l i a z d o n,1
δ’ἀναοίγεσκον_1,δ’ἀναοίγεσκον,d a n a oi g e s k o n,1
δ’ἀναστὰς_1,δ’ἀναστὰς,d a n a s t a s,1
δ’ἀνασχομένω_1,δ’ἀνασχομένω,d a n a s kʰ o m e n ɔː,1
δ’ἀναχαζομένοιο_1,δ’ἀναχαζομένοιο,d a n a kʰ a z d o m e n oi o,1
δ’ἀναχασσαμένη_1,δ’ἀναχασσαμένη,d a n a kʰ a s s a m e n ɛː,1
δ’ἀναχωρήσας_1,δ’ἀναχωρήσας,d a n a kʰ ɔː r ɛː s a s,1
δ’ἀνδραπόδεσσι_1,δ’ἀνδραπόδεσσι,d a n d r a p o d e s s i,1
δ’ἀνδρομάχη_1,δ’ἀνδρομάχη,d a n d r o m a kʰ ɛː,1
δ’ἀνδρὶ_1,δ’ἀνδρὶ,d a n d r i,1
δ’ἀνδρὶ_2,δ’ἀνδρὶ,d a n d r iː,1
δ’ἀνδρὸς_1,δ’ἀνδρὸς,d a n d r o s,1
δ’ἀνδρῶν_1,δ’ἀνδρῶν,d a n d r ɔː n,1
δ’ἀνεδέξατο_1,δ’ἀνεδέξατο,d a n e d e k s a t o,1
δ’ἀνεκήκιεν_1,δ’ἀνεκήκιεν,d a n e k ɛː k i e n,2
δ’ἀνετράπετ’_1,δ’ἀνετράπετ’,d a n e t r a p e t,2
δ’ἀνεχάζετο_1,δ’ἀνεχάζετο,d a n e kʰ a z d e t o,2
δ’ἀνεχώρησεν_1,δ’ἀνεχώρησεν,d a n e kʰ ɔː r ɛː s e n,1
δ’ἀνηκόντιζε_1,δ’ἀνηκόντιζε,d a n ɛː k o n t i z d e,1
δ’ἀνιστάμενος_1,δ’ἀνιστάμενος,d a n i s t a m e n o z,3
δ’ἀνστήσει_1,δ’ἀνστήσει,d a n s t ɛː s eː,1
δ’ἀνστήσεσθαι_1,δ’ἀνστήσεσθαι,d a n s t ɛː s e s tʰ ai,1
δ’ἀντέστη_1,δ’ἀντέστη,d a n t e s t ɛː,2
δ’ἀντήνορος_1,δ’ἀντήνορος,d a n t ɛː n o r o s,1
δ’ἀντήνωρ_1,δ’ἀντήνωρ,d a n t ɛː n ɔː r,1
δ’ἀντίθεος_1,δ’ἀντίθεος,d a n t i tʰ e o s,1
δ’ἀντίλοχος_1,δ’ἀντίλοχος,d a n t i l o kʰ o s,2
δ’ἀντίλοχος_2,δ’ἀντίλοχος,d a n t i l o kʰ o z,2
δ’ἀντίοι_1,δ’ἀντίοι,d a n t i oi,3
δ’ἀντίον_1,δ’ἀντίον,d a n t i o n,1
δ’ἀντίος_1,δ’ἀντίος,d a n t i o s,4
δ’ἀντιάασθε_1,δ’ἀντιάασθε,d a n t i a a s tʰ e,1
δ’ἀντιθέοισιν_1,δ’ἀντιθέοισιν,d a n t i tʰ e oi s i n,1
δ’ἀντικρὺ_1,δ’ἀντικρὺ,d a n t i k r yː,1
δ’ἀντιμάχοιο_1,δ’ἀντιμάχοιο,d a n t i m a kʰ oi o,1
δ’ἀνόρουσε_1,δ’ἀνόρουσε,d a n o r uː s e,3
δ’ἀνόρουσεν_1,δ’ἀνόρουσεν,d a n o r uː s e n,3
δ’ἀνὰ_1,δ’ἀνὰ,d a n a,9
δ’ἀνὴρ_1,δ’ἀνὴρ,d a n ɛː r,2
δ’ἀνὴρ_2,δ’ἀνὴρ,d aː n ɛː r,1
δ’ἀν’_1,δ’ἀν’,d a n,5
δ’ἀξιὸς_1,δ’ἀξιὸς,d a k s i o s,1
δ’ἀπάνευθε_1,δ’ἀπάνευθε,d a p a n eu tʰ e,4
δ’ἀπάνευθεν_1,δ’ἀπάνευθεν,d a p a n eu tʰ e n,1
δ’ἀπάραξε_1,δ’ἀπάραξε,d a p a r a k s e,1
δ’ἀπάτερθεν_1,δ’ἀπάτερθεν,d a p a t e r tʰ e n,1
δ’ἀπέβαινεν_1,δ’ἀπέβαινεν,d a p e b ai n e n,1
δ’ἀπέθηκ’_1,δ’ἀπέθηκ’,d a p e tʰ ɛː k,1
δ’ἀπέληγεν_1,δ’ἀπέληγεν,d a p e l ɛː g e n,1
δ’ἀπέπαυσε_1,δ’ἀπέπαυσε,d a p e p au s e,1
δ’ἀπέπεμπε_1,δ’ἀπέπεμπε,d a p e p e m p e,1
δ’ἀπέπιπτον_1,δ’ἀπέπιπτον,d a p e p i p t o n,1
δ’ἀπέσσυτο_1,δ’ἀπέσσυτο,d a p e s s y t o,1
δ’ἀπαμειβόμενος_1,δ’ἀπαμειβόμενος,d a p a m eː b o m e n o s,38
δ’ἀπελάμπετο_1,δ’ἀπελάμπετο,d a p e l a m p e t o,1
δ’ἀπελυμαίνοντο_1,δ’ἀπελυμαίνοντο,d a p e l yː m ai n o n t o,1
δ’ἀπενάσσατο_1,δ’ἀπενάσσατο,d a p e n a s s a t o,1
δ’ἀπεπλάγχθη_1,δ’ἀπεπλάγχθη,d a p e p l a ŋ kʰ tʰ ɛː,1
δ’ἀπερείσι’_1,δ’ἀπερείσι’,d a p e r eː s i,1
δ’ἀπερύκοι_1,δ’ἀπερύκοι,d a p e r yː k oi,1
δ’ἀπετίνυτο_1,δ’ἀπετίνυτο,d a p e t iː n y t o,1
δ’ἀπιόντα_1,δ’ἀπιόντα,d a p i o n t a,1
δ’ἀπιόντος_1,δ’ἀπιόντος,d a p i o n t o s,2
δ’ἀποβάντες_1,δ’ἀποβάντες,d a p o b a n t e s,1
δ’ἀποθέσθαι_1,δ’ἀποθέσθαι,d a p o tʰ e s tʰ ai,1
δ’ἀπολήγει_1,δ’ἀπολήγει,d a p o l ɛː g eː,1
δ’ἀπονόσφιν_1,δ’ἀπονόσφιν,d a p o n o s pʰ i n,1
δ’ἀποπαύεο_1,δ’ἀποπαύεο,d a p o p au e o,1
δ’ἀπτόλεμος_1,δ’ἀπτόλεμος,d a p t o l e m o s,1
δ’ἀπόεικε_1,δ’ἀπόεικε,d a p o eː k e,1
δ’ἀπόλλων_1,δ’ἀπόλλων,d a p o l l ɔː n,4
δ’ἀπόλλωνα_1,δ’ἀπόλλωνα,d aː p o l l ɔː n a,1
δ’ἀπόλλωνι_1,δ’ἀπόλλωνι,d aː p o l l ɔː n i,3
δ’ἀπόλωλε_1,δ’ἀπόλωλε,d a p o l ɔː l e,1
δ’ἀπόρουσε_1,δ’ἀπόρουσε,d a p o r uː s e,4
δ’ἀπόρουσεν_1,δ’ἀπόρουσεν,d a p o r uː s e n,1
δ’ἀπόφημι_1,δ’ἀπόφημι,d a p o pʰ ɛː m i,1
δ’ἀπὸ_1,δ’ἀπὸ,d a p o,34
δ’ἀπ’_1,δ’ἀπ’,d a p,9
δ’ἀρήγεθ’_1,δ’ἀρήγεθ’,d a r ɛː g e tʰ,1
δ’ἀρήγει_1,δ’ἀρήγει,d a r ɛː g eː,2
δ’ἀρήγων_1,δ’ἀρήγων,d a r ɛː g ɔː n,1
δ’ἀρήϊοι_1,δ’ἀρήϊοι,d a r ɛː i oi,5
δ’ἀρίγνωτος_1,δ’ἀρίγνωτος,d a r i g n ɔː t o z,1
δ’ἀργαλέον_1,δ’ἀργαλέον,d a r g a l e o n,1
δ’ἀργαλέῳ_1,δ’ἀργαλέῳ,d a r g a l e ɔːi,2
δ’ἀργείην_1,δ’ἀργείην,d a r g eː ɛː n,2
δ’ἀργείοις_1,δ’ἀργείοις,d a r g eː oi s,3
δ’ἀργείοισιν_1,δ’ἀργείοισιν,d a r g eː oi s i n,5
δ’ἀργείων_1,δ’ἀργείων,d a r g eː ɔː n,1
δ’ἀργεννῇσι_1,δ’ἀργεννῇσι,d a r g e n n ɛːi s i,1
δ’ἀργιόδοντες_1,δ’ἀργιόδοντες,d a r g i o d o n t e s,1
δ’ἀργύρεον_1,δ’ἀργύρεον,d a r g y r e o n,2
δ’ἀργύρου_1,δ’ἀργύρου,d a r g y r uː,1
δ’ἀρειῇ_1,δ’ἀρειῇ,d a r eː ɛːi,1
δ’ἀρετάονα_1,δ’ἀρετάονα,d a r e t aː o n a,1
δ’ἀρετὴ_1,δ’ἀρετὴ,d a r e t ɛː,1
δ’ἀρετὴν_1,δ’ἀρετὴν,d a r e t ɛː n,1
δ’ἀρηΐθοον_1,δ’ἀρηΐθοον,d a r ɛː i tʰ o o n,1
δ’ἀριστήεσσι_1,δ’ἀριστήεσσι,d a r i s t ɛː e s s i,1
δ’ἀριστερὸν_1,δ’ἀριστερὸν,d a r i s t e r o n,1
δ’ἀροτῆρες_1,δ’ἀροτῆρες,d a r o t ɛː r e s,1
δ’ἀρχὸν_1,δ’ἀρχὸν,d a r kʰ o n,1
δ’ἀρχὸς_1,δ’ἀρχὸς,d a r kʰ o s,2
δ’ἀσθμαίνοντε_1,δ’ἀσθμαίνοντε,d a s tʰ m ai n o n t e,1
δ’ἀσκάλαφον_1,δ’ἀσκάλαφον,d a s k a l a pʰ o n,1
δ’ἀσπάσιος_1,δ’ἀσπάσιος,d a s p a s i o z,1
δ’ἀσπίδα_1,δ’ἀσπίδα,d a s p i d a,5
δ’ἀσπίδ’_1,δ’ἀσπίδ’,d a s p iː d,1
δ’ἀσπερχὲς_1,δ’ἀσπερχὲς,d a s p e r kʰ e z,1
δ’ἀσπερχὲς_2,δ’ἀσπερχὲς,d a s p e r kʰ e s,1
δ’ἀσπληδόνα_1,δ’ἀσπληδόνα,d a s p l ɛː d o n a,1
δ’ἀσπὶς_1,δ’ἀσπὶς,d a s p iː s,2
δ’ἀσπὶς_2,δ’ἀσπὶς,d a s p i s,1
δ’ἀστέρα_1,δ’ἀστέρα,d a s t e r a,1
δ’ἀστεροπὴν_1,δ’ἀστεροπὴν,d a s t e r o p ɛː n,1
δ’ἀστὴρ_1,δ’ἀστὴρ,d a s t ɛː r,2
δ’ἀσφαλέως_1,δ’ἀσφαλέως,d a s pʰ a l e ɔː s,1
δ’ἀτλήτῳ_1,δ’ἀτλήτῳ,d a t l ɛː t ɔːi,1
δ’ἀτρέος_1,δ’ἀτρέος,d a t r e o s,1
δ’ἀτρεΐδα_1,δ’ἀτρεΐδα,d a t r e i d aː,1
δ’ἀτρεΐδαο_1,δ’ἀτρεΐδαο,d a t r e i d aː o,2
δ’ἀτρεΐδεω_1,δ’ἀτρεΐδεω,d a t r e i d e ɔː,1
δ’ἀτρεΐδην_1,δ’ἀτρεΐδην,d a t r e i d ɛː n,2
δ’ἀτρεΐδης_1,δ’ἀτρεΐδης,d a t r e i d ɛː s,1
δ’ἀτρεΐδης_2,δ’ἀτρεΐδης,d a t r e i d ɛː z,2
δ’ἀτρεΐδῃς_1,δ’ἀτρεΐδῃς,d a t r e i d ɛːi s,1
δ’ἀφέηκε_1,δ’ἀφέηκε,d a pʰ e ɛː k e,1
δ’ἀφήμενος_1,δ’ἀφήμενος,d a pʰ ɛː m e n o s,1
δ’ἀφίκοντο_1,δ’ἀφίκοντο,d a pʰ i k o n t o,1
δ’ἀφροδίτην_1,δ’ἀφροδίτην,d a pʰ r o d iː t ɛː n,1
δ’ἀφ’_1,δ’ἀφ’,d a pʰ,2
δ’ἀχαιοί_1,δ’ἀχαιοί,d a kʰ ai oi,2
δ’ἀχαιούς_1,δ’ἀχαιούς,d a kʰ ai uː s,1
δ’ἀχαιοὶ_1,δ’ἀχαιοὶ,d a kʰ ai oi,1
δ’ἀχαιοὺς_1,δ’ἀχαιοὺς,d a kʰ ai uː s,1
δ’ἀχαιῶν_1,δ’ἀχαιῶν,d a kʰ ai ɔː n,2
δ’ἀχιλεύς_1,δ’ἀχιλεύς,d a kʰ i l eu z,2
δ’ἀχιλεὺς_1,δ’ἀχιλεὺς,d a kʰ i l eu s,5
δ’ἀχιλεὺς_2,δ’ἀχιλεὺς,d a kʰ i l eu z,1
δ’ἀχιλλεύς_1,δ’ἀχιλλεύς,d a kʰ i l l eu s,1
δ’ἀχιλλῆϊ_1,δ’ἀχιλλῆϊ,d a kʰ i l l ɛː iː,4
δ’ἀχιλῆα_1,δ’ἀχιλῆα,d a kʰ i l ɛː a,1
δ’ἀχιλῆϊ_1,δ’ἀχιλῆϊ,d a kʰ i l ɛː i,6
δ’ἀχρεῖον_1,δ’ἀχρεῖον,d a kʰ r eː o n,1
δ’ἀϋτή_1,δ’ἀϋτή,d a yː t ɛː,2
δ’ἀϋτήν_1,δ’ἀϋτήν,d a yː t ɛː n,1
δ’ἀϋτμὴ_1,δ’ἀϋτμὴ,d a y t m ɛː,1
δ’ἀϋτὴ_1,δ’ἀϋτὴ,d a yː t ɛː,1
δ’ἁδινῶς_1,δ’ἁδινῶς,d a d i n ɔː s,1
δ’ἁλὸς_1,δ’ἁλὸς,d a l o s,2
δ’ἁμαρτῇ_1,δ’ἁμαρτῇ,d a m a r t ɛːi,1
δ’ἁπαλοῖο_1,δ’ἁπαλοῖο,d a p a l oi o,2
δ’ἁπαλῆς_1,δ’ἁπαλῆς,d a p a l ɛː s,1
δ’ἁπλοΐδας_1,δ’ἁπλοΐδας,d a p l o i d a s,1
δ’ἁρπάξας_1,δ’ἁρπάξας,d a r p a k s a z,1
δ’ἁψάσθην_1,δ’ἁψάσθην,d a p s a s tʰ ɛː n,1
δ’ἂμ_1,δ’ἂμ,d a m,1
δ’ἂν_1,δ’ἂν,d a n,16
δ’ἂψ_1,δ’ἂψ,d a p s,2
δ’ἃς_1,δ’ἃς,d aː s,2
δ’ἄβαντα_1,δ’ἄβαντα,d a b a n t a,1
δ’ἄβληρον_1,δ’ἄβληρον,d a b l ɛː r o n,1
δ’ἄγαγε_1,δ’ἄγαγε,d a g a g e,4
δ’ἄγαγον_1,δ’ἄγαγον,d a g a g o n,1
δ’ἄγγελος_1,δ’ἄγγελος,d a ŋ g e l o s,1
δ’ἄγε_1,δ’ἄγε,d a g e,15
δ’ἄγειν_1,δ’ἄγειν,d a g eː n,2
δ’ἄγετ’_1,δ’ἄγετ’,d a g e t,2
δ’ἄγον_1,δ’ἄγον,d a g o n,2
δ’ἄγχ’_1,δ’ἄγχ’,d a ŋ kʰ,1
δ’ἄγωμεν_1,δ’ἄγωμεν,d a g ɔː m e n,1
δ’ἄγων_1,δ’ἄγων,d a g ɔː n,1
δ’ἄγ’_1,δ’ἄγ’,d a g,4
δ’ἄκμηνος_1,δ’ἄκμηνος,d a k m ɛː n o s,1
δ’ἄκοιτιν_1,δ’ἄκοιτιν,d a k oi t i n,1
δ’ἄκουσεν_1,δ’ἄκουσεν,d a k uː s e n,1
δ’ἄλγιον_1,δ’ἄλγιον,d a l g i o n,1
δ’ἄληκτόν_1,δ’ἄληκτόν,d aː l ɛː k t o n,1
δ’ἄλκιμα_1,δ’ἄλκιμα,d a l k i m a,2
δ’ἄλκιμον_1,δ’ἄλκιμον,d a l k i m o n,5
δ’ἄλλα_1,δ’ἄλλα,d a l l a,1
δ’ἄλλοθεν_1,δ’ἄλλοθεν,d a l l o tʰ e n,1
δ’ἄλλοι_1,δ’ἄλλοι,d a l l oi,17
δ’ἄλλοισι_1,δ’ἄλλοισι,d a l l oi s i,3
δ’ἄλλον_1,δ’ἄλλον,d a l l o n,6
δ’ἄλλος_1,δ’ἄλλος,d a l l o z,1
δ’ἄλλοτε_1,δ’ἄλλοτε,d a l l o t e,3
δ’ἄλλους_1,δ’ἄλλους,d a l l uː z,5
δ’ἄλλους_2,δ’ἄλλους,d a l l uː s,3
δ’ἄλλων_1,δ’ἄλλων,d a l l ɔː n,6
δ’ἄλλως_1,δ’ἄλλως,d a l l ɔː s,1
δ’ἄλλῳ_1,δ’ἄλλῳ,d a l l ɔːi,2
δ’ἄλλ’_1,δ’ἄλλ’,d a l l,1
δ’ἄλοχον_1,δ’ἄλοχον,d a l o kʰ o n,3
δ’ἄλφιτα_1,δ’ἄλφιτα,d a l pʰ i t a,1
δ’ἄμβροτα_1,δ’ἄμβροτα,d a m b r o t a,4
δ’ἄμβροτον_1,δ’ἄμβροτον,d a m b r o t o n,2
δ’ἄμερδεν_1,δ’ἄμερδεν,d a m e r d e n,1
δ’ἄμμε_1,δ’ἄμμε,d a m m e,2
δ’ἄμμιν_1,δ’ἄμμιν,d a m m i n,1
δ’ἄμμορός_1,δ’ἄμμορός,d a m m o r o s,1
δ’ἄμμ’_1,δ’ἄμμ’,d a m m,1
δ’ἄμυδις_1,δ’ἄμυδις,d a m y d i s,1
δ’ἄμυδις_2,δ’ἄμυδις,d a m y d i z,1
δ’ἄμυσσε_1,δ’ἄμυσσε,d a m y s s e,1
δ’ἄμφικλον_1,δ’ἄμφικλον,d a m pʰ i k l o n,1
δ’ἄμφω_1,δ’ἄμφω,d a m pʰ ɔː,6
δ’ἄν_1,δ’ἄν,d a n,1
δ’ἄναντα_1,δ’ἄναντα,d a n a n t a,1
δ’ἄνδιχα_1,δ’ἄνδιχα,d a n d i kʰ a,3
δ’ἄνδρα_1,δ’ἄνδρα,d a n d r a,3
δ’ἄνδρας_1,δ’ἄνδρας,d a n d r a s,1
δ’ἄνδρες_1,δ’ἄνδρες,d a n d r e z,2
δ’ἄνδρες_2,δ’ἄνδρες,d a n d r e s,3
δ’ἄνδρεσσι_1,δ’ἄνδρεσσι,d a n d r e s s i,2
δ’ἄνδρεσσιν_1,δ’ἄνδρεσσιν,d a n d r e s s i n,1
δ’ἄνδρ’_1,δ’ἄνδρ’,d a n d r,1
δ’ἄνεμοι_1,δ’ἄνεμοι,d a n e m oi,2
δ’ἄνεμος_1,δ’ἄνεμος,d a n e m o s,2
δ’ἄνεσάν_1,δ’ἄνεσάν,d a n e s a n,1
δ’ἄνευθεν_1,δ’ἄνευθεν,d a n eu tʰ e n,2
δ’ἄνεῳ_1,δ’ἄνεῳ,d a n e ɔːi,2
δ’ἄντιφος_1,δ’ἄντιφος,d a n t i pʰ o s,1
δ’ἄντυγα_1,δ’ἄντυγα,d a n t y g a,1
δ’ἄντ’_1,δ’ἄντ’,d a n t,1
